"Timestamp","Delta","PreviousScanCode","ScanCode"
"1443283.1359709","0.08356619998812675","0","164"
"1443283.1912663","0.055295399855822325","164","9"
"1443284.353172","1.1619057001080364","9","104"
"1443284.7766202","0.4234481998719275","104","96"
"1443284.9770684","0.2004482001066208","96","96"
"1443285.8091216","0.8320531998760998","96","109"
"1443286.1110268","0.301905200118199","109","101"
"1443286.3925114","0.281484599923715","101","104"
"1443286.5685121","0.17600070009939373","104","104"
"1443286.9449195","0.37640740000642836","104","109"
"1443287.2480306","0.3031110998708755","109","98"
"1443287.4081395","0.1601089001633227","98","99"
"1443287.7287206","0.3205810999497771","99","96"
"1443287.8965051","0.1677844999358058","96","96"
"1443288.3105982","0.41409310000017285","96","32"
"1443288.5589639","0.24836570001207292","32","160"
"1443288.7110628","0.1520988999400288","160","69"
"1443288.9199167","0.20885390019975603","69","77"
"1443289.0159719","0.0960551998578012","77","80"
"1443289.3187787","0.3028067999985069","80","73"
"1443289.4647227","0.14594399998895824","73","82"
"1443289.5518693","0.08714660000987351","82","69"
"1443289.8564659","0.3045966001227498","69","188"
"1443289.9831985","0.12673259992152452","188","32"
"1443290.3277597","0.34456119989044964","32","160"
"1443290.4387176","0.11095790006220341","160","84"
"1443290.6326129","0.19389530015178025","84","79"
"1443290.7918908","0.15927789988927543","79","68"
"1443290.8550084","0.06311760004609823","68","65"
"1443331.5509752","1.1461436999961734","0","13"
"1443331.9920327","0.4410574999637902","13","160"
"1443332.2091992","0.2171664999332279","160","79"
"1443332.424932","0.21573280007578433","79","70"
"1443332.5669048","0.14197280001826584","70","32"
"1443332.7345651","0.1676602999214083","32","160"
"1443332.8794531","0.14488800009712577","160","77"
"1443333.0886106","0.20915749995037913","77","73"
"1443333.142714","0.054103400092571974","73","67"
"1443333.2560612","0.11334719997830689","67","69"
"1443333.4158565","0.15979529987089336","69","32"
"1443333.5050162","0.08915970008820295","32","65"
"1443333.5996308","0.09461460006423295","65","78"
"1443333.7245215","0.12489069998264313","78","68"
"1443333.8468793","0.12235779990442097","68","32"
"1443334.0321256","0.1852462999522686","32","160"
"1443334.1120379","0.07991229998879135","160","77"
"1443334.3048126","0.19277470000088215","77","69"
"1443334.4067058","0.1018932000733912","69","78"
"1443334.6481243","0.2414184999652207","78","188"
"1443334.80749","0.15936570009216666","188","32"
"1443335.0729096","0.26541960006579757","32","66"
"1443335.2812323","0.20832269988022745","66","89"
"1443335.391185","0.10995270009152591","89","32"
"1443335.5837817","0.1925967000424862","32","160"
"1443335.6642401","0.08045839983969927","160","74"
"1443335.8072301","0.14299000008031726","74","79"
"1443336.0225949","0.2153648000676185","79","72"
"1443336.2244726","0.2018776999320835","72","78"
"1443336.2865574","0.06208479986526072","78","32"
"1443336.4392443","0.15268689999356866","32","160"
"1443336.5109267","0.07168240007013083","160","83"
"1443336.7850019","0.2740752000827342","83","84"
"1443336.871778","0.08677609986625612","84","69"
"1443337.0083395","0.13656150014139712","69","73"
"1443337.1198253","0.1114858000073582","73","78"
"1443337.4006587","0.28083339985460043","78","66"
"1443337.6255338","0.22487510018981993","66","69"
"1443337.8405792","0.21504539996385574","69","67"
